planet_name,star_name,planets_in_system,orbital_period,semi_major_axis,radius_earths,mass_earths,radius_jupiters,mass_jupiters,density,equilibrium_temperature,ra,dec_
EPIC 201841433 b,EPIC 201841433,1,4.1698,0.035,1.04,1.12,0.09278259,0.00352,5.47,1032.49,175.206752,6.1348146
WASP-75 b,WASP-75,1,2.484193,0.0375,14.235,340.06,1.27,1.07,0.69,1710.0,342.3858995,-10.6754686
Kepler-1181 b,Kepler-1181,2,4.89337519,0.0621,1.57,3.09,0.14006602,0.00972,4.39,1374.0,289.7473165,39.5234131
TOI-6884 b,TOI-6884,1,4.808264,0.0629,10.39072511,8365.24367224,0.927,26.32,41.0,1652.0,193.0087935,26.673951
Kepler-423 b,Kepler-423,1,2.6843285,0.03585,13.361,189.101,1.192,0.595,0.459,1605.0,292.8557189,46.3911883
HD 47366 b,HD 47366,2,360.08,1.207,13.4,661.71874337,1.19,2.082,1.51,577.05,99.4200181,-12.9856593
Kepler-65 d,Kepler-65,4,8.13123,0.084,1.52,4.14,0.136,0.013,5.7,1117.0,288.6887221,41.1511076
K2-79 b,K2-79,1,10.995039,0.0987,4.15,5.9,0.37023884,0.01856348,0.476928,1033.0,55.2559307,13.5191871
Kepler-1395 b,Kepler-1395,1,3.78470649,0.04974,0.8,0.437,0.07137122,0.00137,4.69,1311.0,292.3374945,47.6641732
Kepler-201 b,Kepler-201,2,25.672083,0.175,2.46,6.62,0.219,0.0208,2.44,683.0,293.626059,41.2728004
Kepler-1518 b,Kepler-1518,2,5.11177904,0.0593,3.05,9.53,0.27210277,0.03,1.85,1351.0,300.3323404,44.9861065
Kepler-1383 b,Kepler-1383,1,13.9093583,0.11397,1.41,2.57,0.12579177,0.00809,5.04,928.0,297.9447714,42.1918449
Kepler-229 c,Kepler-229,3,16.068638,0.117,4.92,21.5,0.439,0.0676,0.992,600.0,286.9994758,48.3757867
Kepler-800 b,Kepler-800,1,14.13176026,0.1106,2.85,8.5,0.25425997,0.0267,2.02,675.0,286.5747697,44.7951858
Kepler-561 b,Kepler-561,2,58.3620495,0.29256,6.96,38.7,0.62092961,0.122,0.631,446.0,293.7471107,45.1071981
HD 21693 b,HD 21693,2,22.6786,0.1455,2.8,8.23,0.25,0.0259,2.06,656.39,51.8040469,-58.3232726
GJ 4276 b,GJ 4276,1,13.352,0.082,4.22,16.57,0.377,0.05213479,1.21,363.86,336.3221454,59.412503
14 Her b,14 Her,2,1766.41,2.839,12.5,2828.6728223,1.12,8.9,7.96,147.32,242.6021014,43.8163621
Kepler-1272 b,Kepler-1272,1,51.1309704,0.2705,2.37,6.21,0.21143724,0.0195,2.56,542.0,285.2197605,38.8058393
GJ 229 b,GJ 229,2,579.47495,1.086,3.97,14.93793513,0.354,0.047,1.31,111.85,92.6435993,-21.8677233
Kepler-137 c,Kepler-137,2,18.735753,0.13,1.88,4.19,0.168,0.0132,3.47,568.0,282.1355875,43.0391951
HD 47536 b,HD 47536,1,712.13,1.93,12.6,2330.0,1.13,7.32,6.4,736.52,99.448958,-32.3394531
GJ 414 A b,GJ 414 A,2,50.8,0.2324,2.63,7.6,0.23463288,0.02391215,2.3,308.6,167.7745044,30.4451688
Kepler-309 c,Kepler-309,2,105.356383,0.401,2.51,6.85,0.224,0.0215,2.38,204.0,297.5098911,46.9614121
GJ 422 b,GJ 422,1,20.129,0.111,3.33,11.07,0.297,0.03482994,1.65,292.68,168.9810458,-57.5425629
HD 48948 b,HD 48948,3,7.34013,0.0652,2.06,4.88,0.183,0.0153542,3.07,957.0,102.489811,60.3373133
Kepler-722 b,Kepler-722,2,4.093573252,0.0514,2.63,7.41,0.23463288,0.0233,2.24,1182.0,290.2632874,44.5564051
HD 220074 b,HD 220074,1,672.09998,1.6,12.2,5288.6912,1.09,16.64,16.0,1069.88,350.0599827,61.9701062
24 Boo b,24 Boo,1,30.33,0.194,13.9,280.64248338,1.24,0.883,0.574,1840.86,217.1555242,49.8446488
HD 180617 b,HD 180617,1,105.911,0.343,3.53,12.214,0.315,0.03842935,1.53,201.8,289.2277322,5.1631615
HD 74156 c,HD 74156,2,2448.48726,3.678,12.5,2753.98314665,1.12,8.665,7.75,187.52,130.6047813,4.5772338
Kepler-1478 b,Kepler-1478,1,26.0840594,0.1681,1.73,3.64,0.15434026,0.0115,3.86,598.0,293.1650085,41.746184
Kepler-418 c,Kepler-418,2,12.21829987,0.10632,5.22108654,23.7,0.46579494,0.0747,0.915,835.0,294.4335228,38.3554729
Kepler-333 c,Kepler-333,2,24.08821,0.135,1.11,1.41,0.099,0.00444,5.67,386.0,292.2861201,40.9135429
HD 79498 b,HD 79498,1,1807.0,2.98,13.6,425.8922,1.22,1.34,0.93,164.53,138.7885794,23.3748792
Kepler-203 c,Kepler-203,3,5.370647,0.061,2.47,749.9,0.22,2.36,273.0,1096.0,297.089959,41.3880686
TOI-1203.01,TOI-1203,4,25.502672,0.1632,2.918,7.39,0.26032697,0.02325154,1.63,743.6,168.2267358,-34.4069371
Kepler-238 d,Kepler-238,5,13.233549,0.115,3.07,23.1,0.274,0.07268073,2.95,888.0,287.8971066,40.6378141
Kepler-221 b,Kepler-221,4,2.795906,0.037,1.71,5.95575,0.153,0.01873889,0.19,1090.0,296.6547477,46.8352242
Kepler-745 b,Kepler-745,1,9.93143556,0.0915,2.16,5.31,0.19270229,0.0167,2.9,931.0,291.4994412,37.0592571
Kepler-810 b,Kepler-810,1,4.59725385,0.055,1.93,4.38,0.17218307,0.0138,3.35,1105.0,296.6148615,48.0825642
Kepler-1365 c,Kepler-1365,2,4.77468005,0.05701,0.8,0.437,0.07137122,0.00137,4.69,1137.0,292.1996573,42.0459944
Kepler-353 b,Kepler-353,2,5.795278,0.051,0.89,0.64,0.079,0.00201,4.99,534.0,296.8565596,41.7580749
HD 28109 d,HD 28109,3,84.2899,0.411,3.11,5.8,0.27745609,0.01824884,1.1,561.0,65.2383065,-68.1026875
