star_name,star_temperature,star_radius,star_mass,star_surface_gravity
Kepler-260,5250.0,0.862,1.013,4.494
Kepler-1089,3753.0,0.49,0.52,4.76
HD 235088,5075.0,0.772,0.849,4.55
NGTS-34,6134.0,1.367,1.266,4.22
K2-138,5356.3,0.863,0.935,4.54
TOI-1683,4402.0,0.7,0.694661,4.59
Kepler-18,5345.0,1.108,0.972,4.31
Kepler-831,5732.0,0.97,0.99,4.46
Kepler-221,5243.0,0.821,0.854,4.543
K2-257,3725.0,0.5,0.52,4.76
Kepler-27,5251.0,0.817,0.926,4.581
BD+55 362,5012.0,0.896193,0.909,4.09
Kepler-412,5750.0,1.287,1.167,4.3
TOI-2158,5673.0,1.41,1.12,4.19
Kepler-651,5522.0,0.87,0.92,4.53
HD 151450,6091.98,1.17184,1.14,4.35724
HD 134987,5736.0,1.22,1.1,4.31
CoRoT-8,5080.0,0.77,0.88,4.58
K2-411,5711.0,1.375,1.018,4.1693
Kepler-1381,5747.0,0.94,0.96,4.48
Kepler-1325,5550.0,0.91,0.93,4.5
COCONUTS-2 A,3552.0,0.366,0.4,4.91
Kepler-703,6185.0,1.27,1.18,4.29
Kepler-616,5753.0,0.97,0.98,4.46
TOI-1533,5146.0,0.849,0.88,4.5
TOI-1408,6117.0,1.53,1.312,4.1
HIP 91258,5519.0,0.89,0.97,4.53
CD Cet,3130.0,0.175,0.161,4.93
Kepler-1322,5488.0,0.87,0.9,4.52
HAT-P-16,6140.0,1.158,1.218,4.396
Kepler-1999,4406.0,0.628,0.632,4.643
Kepler-1285,6170.0,1.28,1.2,4.3
TOI-3688 A,5950.0,1.302,1.199,4.288
HD 5278,6203.0,1.194,1.126,4.5
Kepler-1592,6213.0,1.28,1.18,4.29
HD 12484,5920.0,1.001848,1.01,4.65
Kepler-1003,6109.0,1.17,1.11,4.35
Kepler-213,5696.0,1.195,1.07,4.31
Kepler-305,5080.0,0.8,0.76,4.51
GJ 536,3641.0,0.529,0.528,4.713
Kepler-361,6169.0,1.343,1.191,4.254
Kepler-1778,6310.0,1.095,1.143,4.417
Kepler-1005,5782.0,1.06,1.0,4.38
Kepler-346,6033.0,1.021,0.943,4.464
Kepler-421,5308.0,0.757,0.794,4.61
Kepler-688,5715.0,0.96,0.98,4.47
Kepler-123,6089.0,1.264,1.079,4.277
Kepler-614,5268.0,0.81,0.85,4.55
Kepler-1079,5758.0,1.36,1.08,4.21
Kepler-211,5123.0,0.816,0.867,4.547
Kepler-870,5857.0,1.02,1.01,4.43
Kepler-257,5180.0,1.037,0.916,4.36
Kepler-1724,6092.0,0.943,1.016,4.496
TOI-5398,6000.0,1.051,1.146,4.44
TOI-640,6460.0,2.082,1.536,3.987
Kepler-187,6105.0,1.287,1.081,4.274
HIP 66074,4300.0,0.69,0.705,4.58
HD 147018,5441.0,0.937948,0.927,4.42
HD 160691,5773.0,1.33,1.13,4.2
HD 216520,5103.0,0.76,0.82,4.54
Kepler-573,5746.0,1.02,0.99,4.41
Kepler-975,4897.0,0.75,0.8,4.59
Kepler-520,6112.0,1.09,1.1,4.41
Kepler-476,5837.0,1.09,1.03,4.38
Kepler-1073,5792.0,1.0,1.0,4.44
Kepler-684,5493.0,0.86,0.89,4.53
Kepler-351,5643.0,0.854,0.81,4.556
Kepler-1295,5486.0,0.89,0.92,4.51
HATS-54,5621.0,1.23,1.05,4.2
WASP-159,6120.0,2.11,1.41,3.94
K2-26,3785.0,0.52,0.56,4.72407
TIC 9344899,5800.0,1.06,0.98,4.39
Kepler-118,5274.0,1.094,0.811,4.321
BD-210397,4051.0,0.747,0.679,4.67
LHS 1903,3664.0,0.539,0.538,4.75
CoRoT-24,4950.0,0.86,0.91,4.55
HIP 948,4497.0,0.688488,0.71,4.61353
Kepler-1062,4597.0,0.7,0.75,4.62
K2-167,6310.0,1.499,1.084,4.122
Kepler-495,5346.0,0.83,0.86,4.55
Kepler-1151,5470.0,0.85,0.88,4.53
Kepler-574,5612.0,0.91,0.95,4.5
TOI-3819,5859.0,1.538,1.242,4.156
Kepler-1162,5390.0,0.84,0.89,4.54
GJ 414 A,4120.0,0.68,0.65,4.65
Kepler-401,6117.0,1.333,1.173,4.254
Kepler-37,5288.0,0.772,0.8,4.5667
HD 28185,5602.0,1.048,0.974,4.386
HD 10180,5911.0,1.109,1.06,4.39
HAT-P-19,4962.0,0.773,0.807,4.5687
TOI-1634,3550.0,0.45,0.502,4.833
HD 19994,6188.0,1.79647,1.365,4.29
Kepler-82,5401.0,0.898,0.91,4.49
Kepler-446,3359.0,0.24,0.22,5.03245
KOI-1257,5520.0,1.13,0.99,4.32
Kepler-138,3841.0,0.535,0.535,4.71
TOI-5789,5185.0,0.833,0.821,4.511
HD 222582,5790.0,1.13,1.12,4.38
Kepler-1650,3410.0,0.334,0.326,4.85873
Kepler-210,4559.0,0.65,0.77,4.663
TOI-1269,5499.0,0.8521,0.9027,4.531
Kepler-1551,6136.0,1.22,1.14,4.32
K2-159,5425.0,0.83,0.9,4.56
Kepler-1352,6118.0,1.16,1.11,4.35
TOI-2236,6248.0,1.573,1.343,4.172
HD 132563,6289.0,1.29577,1.231,4.30327
Kepler-1439,3578.0,0.43,0.46,4.83
Kepler-1202,5834.0,1.04,1.03,4.42
HIP 113103,4930.0,0.742,0.761,4.6
HAT-P-44,5295.0,0.949,0.942,4.46
K2-149,3745.0,0.568,0.595,4.707
Kepler-139,5622.0,1.045,1.078,4.34518
Kepler-1474,5870.0,1.04,1.04,4.42
HD 14067,4815.0,12.4,2.4,2.61
Kepler-128,6072.0,1.659,1.184,4.07
Kepler-1639,6150.0,1.18,1.12,4.34
TOI-2580,6120.0,1.81,1.33,4.15
Kepler-1000,6453.0,1.51,1.4,4.23
HAT-P-7,6389.0,2.0,1.56,4.07
Kepler-33,5904.0,1.82,1.291,4.027
TOI-2084,3551.0,0.475,0.453,4.75
Kepler-1602,6296.0,1.36,1.22,4.25
K2-222,5942.0,1.072,0.94,4.35
K2-72,3360.47,0.330989,0.271365,5.048
HD 25171,6125.0,1.23,1.076,4.263
K2-195,5713.0,0.99,0.94,4.42
TOI-2458,6005.0,1.31,1.05,4.2
K2-146,3385.0,0.33,0.331,4.8983
Kepler-644,6747.0,1.81,1.49,4.09
Kepler-120,4096.0,0.534,0.654,4.732
TIC 365102760,4900.0,3.13,1.17,3.52
Kepler-1153,5470.0,0.88,0.91,4.52
Kepler-1738,6063.0,1.001,1.079,4.47
WASP-7,6400.0,1.432,1.276,4.232
K2-283,5060.0,0.82,0.89,4.56
Kepler-226,5571.0,0.802,0.904,4.586
Kepler-327,3799.0,0.492,0.591913,4.758
TOI-1347,5464.0,0.83,0.913,4.64
HD 10975,4840.0,11.16,1.41,2.48
Kepler-109,5950.0,1.387,1.094,4.21
K2-28,3214.0,0.288,0.257,4.93
K2-6,5850.0,0.96,0.97,4.398
Kepler-952,5730.0,0.99,1.0,4.45
WASP-26,6034.0,1.22,0.86,4.44
Kepler-334,5828.0,1.068,1.022,4.385
Kepler-194,6089.0,1.025,0.94,4.415
Kepler-272,5297.0,0.929,0.91,4.426
WASP-87,6450.0,1.627,1.204,4.32
Kepler-92,5904.34,1.81719,1.07,3.94865
Kepler-945,5718.0,0.97,0.97,4.46
K2-90,4484.0,0.619,0.629,4.653
GJ 1061,2953.0,0.156,0.12,5.15856
Kepler-102,4909.0,0.724,0.803,4.6
Kepler-1764,6461.0,1.131,1.162,4.396
Kepler-634,6075.0,1.24,1.03,4.26
EPIC 211822797,4057.0,0.58,0.62,4.7
Kepler-681,5021.0,0.76,0.8,4.58
Kepler-68,5847.0,1.2564,1.057,4.281
Kepler-53,5858.0,0.89,0.98,4.53
Kepler-1652,3638.0,0.382,0.404,4.878
Kepler-352,5212.0,0.781,0.798,4.566
HD 18742,4940.0,5.13,1.36,3.09
KOI-7368,5241.0,0.874,0.879,4.499
K2-50,4326.0,0.634,0.611,4.742
TOI-2088,5081.0,0.8481,0.9027,4.533
GJ 238,3485.0,0.4314,0.4193,4.85243
Kepler-1192,5438.0,0.83,0.86,4.55
Kepler-214,6169.0,1.352,1.11,4.249
Kepler-1354,6168.0,1.24,1.16,4.31
Kepler-1897,5165.0,0.761,0.859,4.599
Kepler-452,5757.0,1.11,1.037,4.32
Kepler-259,5938.0,0.898,0.867,4.532
HIP 98599,5978.0,1.39484,1.19,4.23538
WASP-82,6480.0,2.1,1.48,3.96
K2-154,4097.0,0.63,0.65,4.65
Kepler-1869,5808.0,0.902,0.987,4.522
Kepler-240,4985.0,0.739,0.868,4.626
Kepler-601,5160.0,0.79,0.85,4.57
gam Lib,4879.0,12.38,1.78,2.5
HD 136118,6097.0,1.67754,1.18,4.053
Kepler-781,5162.0,0.78,0.81,4.58
Kepler-1550,5991.0,1.11,1.07,4.38
K2-72,3360.47,0.330989,0.271365,5.048
Kepler-743,5486.0,0.85,0.94,4.55
NGTS-32,5680.0,1.85,1.07,4.09
HD 155358,5905.0,1.38,1.15,4.22
TOI-5126,6150.0,1.241,1.24,4.224
TOI-406,3392.0,0.41,0.408,4.69
Kepler-545,5882.0,1.07,1.04,4.39
KPS-1,5165.0,0.907,0.892,4.47
Kepler-916,5248.0,0.81,0.85,4.56
NGTS-25,5321.0,0.86,0.91,4.48
Kepler-20,5495.0,0.9164,0.929,4.446
TOI-277,4031.0,0.362,0.16,4.58
HD 156846,6090.0,1.9,1.38,4.02
TOI-2025,5977.0,1.459,1.199,4.187
Kepler-845,4913.0,0.75,0.79,4.59
Kepler-1919,5513.0,0.818,0.868,4.551
HD 13808,5035.0,0.781,0.771,4.57546
HD 192310,5166.0,0.857922,0.8,4.51
K2-151,3695.0,0.45,0.47,4.8
HIP 56640,4769.0,4.93,1.75,2.91
Kepler-1878,5918.0,0.865,0.956,4.544
TOI-2443,4375.0,0.631,0.642,4.42
HD 219139,4831.0,11.22,1.46,2.48
Kepler-1020,5227.0,0.8,0.87,4.57
Kepler-1447,5722.0,0.95,0.97,4.47
TOI-1470,3709.0,0.469,0.471,4.77
HD 74698,5783.0,1.333,1.039,4.12
Kepler-915,6173.0,1.38,1.21,4.24
HATS-58 A,7175.0,1.433,1.461,4.292
TIC 241249530,6166.0,1.397,1.271,4.23
TOI-3261,5068.0,0.849,0.861,4.19
HAT-P-59,5678.0,1.1038,1.008,4.356
Kepler-910,6230.0,1.5,1.26,4.19
K2-268,5106.0,0.78,0.84,4.58
HD 102195,5301.0,0.82,0.76,4.49
K2-8,4870.0,0.74,0.78,4.52
Kepler-849,5950.0,1.822,1.259,4.016
Kepler-92,5883.0,1.7,1.21,4.05
HD 17674,5904.0,1.18,0.98,4.34
Kepler-405,5818.0,0.893,0.873,4.536
K2-223,5859.0,1.0,1.06,4.5
Kepler-1065,5635.0,0.93,0.94,4.49
TOI-6086,3200.0,0.259,0.254,5.01
Kepler-46,5155.0,0.938,0.902,4.447
HIP 38594,4086.3,0.626646,0.61,4.62886
TOI-3071,6177.0,1.31,1.29,4.37
HD 178911 B,5588.0,1.08,1.24,4.46
Kepler-145,6022.0,1.85,1.32,4.02
GJ 682,3028.0,0.298255,0.27,4.92764
Kepler-144,6075.0,1.235,1.154,4.289
Kepler-251,5526.0,0.89,0.891,4.486
TOI-406,3392.0,0.41,0.408,4.69
HD 216437,5909.0,1.394,1.22,4.188
Kepler-196,5132.0,0.77,0.805,4.571
HIP 65 A,4590.0,0.7242,0.781,4.611
Kepler-549,5312.0,0.986,0.859,4.384
Kepler-235,4255.0,0.554,0.581,4.73
HD 40307,4956.0,0.716684,0.77,4.47
Kepler-1013,4954.0,0.76,0.81,4.59
2MASS J19383260+4603591,29564.0,0.203,0.48,5.508
TOI-5789,5185.0,0.833,0.821,4.511
Kepler-405,5818.0,0.893,0.873,4.536
Kepler-1883,6208.0,1.024,1.086,4.454
Kepler-313,5727.0,1.536,1.114,4.127
HD 210702,4912.0,4.54,1.33,3.23
Kepler-1421,6335.0,1.42,1.25,4.23
Kepler-1660 A,6305.24,1.491,1.1366,4.32
HD 36384,3940.0,38.4,1.14,1.1
TIC 139270665,5844.0,1.016,1.035,4.439
Kepler-1372,5677.0,0.97,0.98,4.46
Kepler-84,6031.0,1.169,1.06,4.323
Kepler-205,4321.0,0.546,0.592,4.735
Kepler-1507,5410.0,0.85,0.89,4.53
Kepler-702,5419.0,0.86,0.9,4.53
Kepler-186,3788.0,0.472,0.478,4.77
TOI-1794,5631.0,1.3162,0.9698,4.184
Kepler-339,5631.0,0.802,0.87,4.586
K2-228,4715.0,0.65,0.71,4.66
Kepler-1805,3867.0,0.552,0.581,4.718
TOI-261,5890.3,1.28018,0.496728,3.92
TOI-1201,3476.0,0.508,0.512,4.8
K2-286,3926.0,0.62,0.64,4.7
Kepler-370,5852.0,0.9,0.982,4.531
TOI-559,5925.0,1.233,1.026,4.268
Kepler-224,5018.0,0.676,0.777,4.639
Kepler-956,6040.0,1.15,1.1,4.36
Kepler-1052,5888.0,1.03,1.03,4.42
Kepler-1405,5925.0,1.07,1.05,4.4
HATS-63,5627.0,1.07,0.931,4.349
K2-414,4343.0,0.732,0.814,4.621
TOI-5795,5715.0,1.082,0.901,4.32
TOI-1052,6146.0,1.264,1.204,4.3
TOI-1174,5030.0,0.76,0.85,4.573
HD 200964,4982.0,4.92,1.39,3.22
Kepler-1315,4861.0,0.75,0.8,4.6
Kepler-93,5669.0,0.92,0.91,4.468
Kepler-425,5170.0,0.86,0.93,4.535
Kepler-197,6004.0,1.12,0.857,4.304
Kepler-1271,6143.0,1.23,1.13,4.31
Kepler-790,5208.0,0.8,0.84,4.56
Kepler-395,4262.0,0.556,0.622827,4.729
TOI-1846,3568.0,0.397,0.418,4.862
Kepler-1957,4904.0,0.772,0.745,4.535
Kepler-515,5293.0,0.83,0.9,4.55
K2-98,6260.0,1.518,1.246,4.169
HS Psc,4203.0,0.65,0.69,4.66
Kepler-113,4725.0,0.69,0.75,4.636
BD+42 2315,4500.0,17.85,1.38,2.0
Kepler-219,5786.0,1.491,1.164,4.157
Kepler-297,5619.0,0.915,0.927,4.468
Kepler-1314,4188.0,0.59,0.6,4.68
HD 10180,5911.0,1.109,1.06,4.39
Kepler-1053,4529.0,0.69,0.74,4.63
HD 93351,5408.0,0.911435,0.94,4.49174
Kepler-1313,5453.0,0.85,0.92,4.54
Kepler-1791,5887.0,1.177,0.985,4.29
Kepler-340,6620.0,1.85,1.65,4.063
WASP-165,5599.0,1.75,1.248,3.93
HD 217107,5622.0,1.2245,1.045,4.34
Kepler-1163,6302.0,1.35,1.22,4.26
HD 106515 A,5362.0,0.91,0.89,4.41
Kepler-1546,5623.0,0.93,0.95,4.48
Kepler-1288,6132.0,1.29,1.2,4.29
HD 10647,6218.0,1.1,1.11,4.62
GJ 1151,3280.0,0.1781,0.1639,5.09
Kepler-581,5772.0,1.0,1.0,4.44
Kepler-1261,5006.0,0.77,0.82,4.58
TOI-815,4869.0,0.77,0.776,4.51
WASP-171,5965.0,1.637,1.171,4.08
Kepler-80,4540.0,0.678,0.73,4.639
HATS-49,4405.0,0.6977,0.7133,4.6036
Kepler-925,4673.0,0.72,0.77,4.62
HD 73267,5387.0,0.909,0.93,4.447
Kepler-1631,5679.0,0.95,0.97,4.47
Kepler-1893,5633.0,1.162,0.973,4.296
KELT-12,6279.0,2.37,1.591,3.889
HD 63433,5553.0,0.934,0.956,4.56
HD 72892,5688.0,1.22,1.01,4.27
Kepler-1139,5550.0,0.91,0.94,4.5
HD 149806,5352.05,0.89,0.93,4.51
Kepler-231,3767.0,0.49,0.58,4.779
HD 110082,6200.0,1.19,1.21,4.2
Kepler-1142,5685.0,0.96,0.97,4.46
Kepler-82,5428.0,0.945,0.946,4.466
HD 167042,4919.0,4.63,1.39,3.23
K2-16,4742.0,0.66,0.68,4.51
HD 169830,6300.0,1.935709,1.17,4.008828
Kepler-853,6350.0,1.55,1.3,4.17
Kepler-449,5649.18,1.467,1.02,4.091
Kepler-906,6035.0,1.02,1.06,4.45
Kepler-1912,5734.0,0.962,0.977,4.462
HIP 57274,4640.0,0.68,0.73,4.71
HATS-1,5870.0,1.038,0.986,4.4
Kepler-735,5107.0,0.8,0.85,4.57
HD 100655,4891.0,10.06,2.28,2.79
GJ 676 A,3734.0,0.69,0.626,4.62
HD 25463,6353.0,1.4182,1.251,4.227
TOI-1260,4227.0,0.672,0.679,4.57
Kepler-1730,5942.0,1.142,1.009,4.327
Kepler-1583,5645.0,0.91,0.94,4.49
Kepler-306,4954.0,0.719,0.75,4.611
HD 217958,5930.64,1.32619,1.08,4.22628
Kepler-1839,5926.0,0.939,1.03,4.506
OGLE2-TR-L9,6933.0,1.53,1.52,4.25
Kepler-694,5700.0,0.95,0.97,4.47
Kepler-150,5560.0,0.939,0.956,4.466
Kepler-1994,5495.0,0.961,0.932,4.442
HD 10442,4912.0,1.97,1.01,3.19
Kepler-148,5272.0,0.851,0.86,4.546
HATS-32,5700.0,1.097,1.099,4.396
Kepler-547,4828.0,0.73,0.78,4.61
WASP-38,6180.0,1.52,1.76,4.25
Kepler-1488,5710.0,1.524,1.003,4.073
Kepler-124,4984.0,0.636,0.706,4.669
Kepler-198,5574.0,0.94,0.995,4.467
Kepler-129,5770.0,1.653,1.178,4.08
LHS 1903,3664.0,0.539,0.538,4.75
HAT-P-57,6330.0,1.85,2.77,4.25
Kepler-446,3359.0,0.24,0.22,5.03245
HD 8326,4914.0,0.783181,0.8,4.54993
K2-216,4503.0,0.72,0.7,4.57
Kepler-1549,5324.0,0.84,0.88,4.54
Kepler-1198,5517.0,0.9,0.93,4.5
HD 143811 A,6791.0,1.68398,1.32,4.34
WASP-104,5475.0,0.963,1.076,4.503
51 Peg,5761.0,1.19,1.07,4.317353
K2-187,5438.0,0.83,0.966999,4.6
Kepler-1086,4350.0,0.66,0.7,4.65
K2-32,5271.0,0.86,0.83,4.49
Kepler-1800,5343.0,2.506,1.33,3.764
Kepler-78,5058.0,0.7475,0.779,4.61
Kepler-1944,5585.0,0.972,1.064,4.49
TOI-1742,5815.0,1.131,1.0861,4.365
K2-105,5373.0,0.905,0.94,4.45
BD+45 564,5004.0,0.813064,0.81,4.22
WASP-60,5900.0,1.17,1.19,4.2
HIP 8541,4672.0,6.84,2.009,2.95
Kepler-1762,6572.0,1.238,1.298,4.365
HD 102329,4830.0,6.3,1.3,3.0
HD 7449,6024.0,0.97,1.196,4.52
HD 197037,6150.0,1.105,1.11,4.4
K2-270,4877.0,0.77,0.85,4.59
Kepler-1529,5048.0,0.77,0.81,4.58
Kepler-98,5539.0,1.11,0.99,4.341
HD 140901,5610.0,0.95,0.99,4.46
Pr0201,6174.0,1.15,1.24,4.41
Kepler-362,5788.0,0.722,0.904,4.639
TOI-2295,5730.0,1.459,1.168,4.176
HD 99283,4886.0,11.21,1.76,2.57
HD 39194,5205.0,0.783742,0.86,4.53
Kepler-656,5550.0,0.954,1.05,4.5
TOI-1295,6280.0,1.7,1.38,4.1
NGTS-15,5600.0,0.954,0.995,4.4
HD 62509,4892.63,8.9,2.0,2.78
HD 81817,4140.0,83.8,4.3,1.3
Kepler-1941,6404.0,1.142,1.175,4.393
Kepler-1691,6000.0,1.13152,1.11,4.37607
K2-254,4629.0,0.67,0.71,4.64
Kepler-180,5731.0,1.063,0.95,4.343
Kepler-1316,5884.0,1.12,1.04,4.36
Kepler-1542,5564.0,0.99,0.94,4.41
Kepler-1311,5616.0,1.674,1.032,4.004
Kepler-1866,5791.0,1.083,1.03,4.381
HD 155918,5771.84,1.01906,1.03,4.43451
DMPP-2,6500.0,1.78,1.41,4.1
Kepler-300,5986.0,0.9,1.07,4.532
Kepler-1392,5479.0,0.85,0.88,4.53
TOI-669,5597.0,0.9882,0.9245,4.412
Kepler-347,6088.0,1.005,0.922,4.472
WASP-184,6000.0,1.65,1.23,4.09
TOI-4559,3558.0,0.374,0.392,4.884
Kepler-105,5933.0,1.026,0.991,4.43197
HD 34445,5836.0,1.38,1.07,4.21
LHS 1903,3664.0,0.539,0.538,4.75
Kepler-504,3519.0,0.33,0.33,4.94
HD 199509,5796.02,0.92,1.04,4.51
Kepler-256,5551.0,1.301,1.037,4.223
Kepler-214,6169.0,1.352,1.11,4.249
Kepler-197,6004.0,1.12,0.857,4.304
HIP 5158,4962.0,0.75,0.78,4.37
HD 33142,5025.4,4.17,1.52,3.375
TOI-2421,5607.0,1.75,1.131,4.005
Kepler-323,6004.0,1.12,1.015,4.38
TOI-7510,5720.0,1.035,1.063,4.439
HATS-17,5846.0,1.091,1.131,4.416
K2-90,4421.98,0.634754,0.704613,4.653
Kepler-867,5541.0,0.91,0.92,4.49
Kepler-315,5796.0,1.037,0.831,4.377
HD 77946,6007.0,1.3174,1.1973,4.276
Kepler-768,5108.0,0.78,0.82,4.58
TOI-2147,5983.0,1.39,0.99,4.2
K2-251,3717.0,0.49,0.52,4.76
KELT-6,6272.0,1.529,1.126,4.12
Kepler-626,5813.0,1.05,1.01,4.4
Kepler-94,4781.0,0.76,0.81,4.59
Kepler-47,5636.0,0.936,0.957,4.492
Kepler-325,5752.0,1.003,0.914,4.411
Kepler-298,4465.0,0.582,0.66,4.709
TOI-2136,3342.0,0.34,0.34,4.91
TIC 279401253,5951.0,1.06,1.13,4.438
HD 11506,6123.0,1.24,1.22,4.39
Kepler-282,5602.0,0.904,0.86,4.459
Kepler-811,5747.0,1.24,1.01,4.25
Kepler-1493,5863.0,1.29,1.06,4.24
HAT-P-6,6570.0,1.62,1.79,4.22
Kepler-1118,5688.0,0.97,0.96,4.46
WASP-185,5900.0,1.5,1.12,4.13
Kepler-982,6139.0,1.29,1.16,4.28
TOI-1752,3762.0,0.53,0.524,4.71
K2-247,4667.0,0.69,0.74,4.63
Kepler-1841,5190.0,0.899,0.823,4.446
TOI-5261,5790.0,1.021,1.037,4.436
K2-322,4141.0,0.602,0.63,4.677
Kepler-1917,5530.0,0.788,0.882,4.586
HD 141004,5885.38,1.389372,1.051904,4.17384
HATS-44,5080.0,0.847,0.86,4.514
Kepler-168,6282.0,1.107,1.113,4.422
HD 160691,5773.0,1.33,1.13,4.2
Kepler-701,5343.0,0.84,0.88,4.54
Kepler-1515,6511.0,1.41,1.3,4.26
Kepler-1723,6072.0,1.01,0.96,4.411
Kepler-990,5948.0,1.08,1.05,4.39
Kepler-386,5178.0,0.767,0.825,4.558
omi UMa,5075.0,13.84,2.72,2.58
Kepler-1993,5159.0,3.062,1.373,3.604
Kepler-795,5631.0,0.96,0.94,4.45
Kepler-207,5920.0,1.588,1.313,4.129
Kepler-163,5776.0,0.917,0.882,4.524
GJ 9689,3836.0,0.57,0.59,4.69
GJ 179,3370.0,0.38,0.357,4.83
Kepler-1987,4769.0,0.714,0.799,4.622
HATS-42,6060.0,1.48,1.273,4.201
Kepler-169,4997.0,0.763,0.825,4.582
Kepler-875,5958.0,1.11,1.06,4.38
Kepler-653,5665.0,1.19,1.02,4.29
Kepler-191,5215.0,0.8,0.84,4.56
Kepler-400,5886.0,1.145,1.08,4.35
K2-59,5055.0,0.731,0.774,4.592
Kepler-1881,5135.0,0.874,0.812,4.464
TOI-329,5614.0,1.5326,1.0678,4.092
Kepler-308,5895.0,0.941,0.92,4.508
TOI-5788,5615.0,0.87,0.87,4.42
TOI-1753,5621.0,0.9715,0.9483,4.438
BD-08 2823,4746.0,0.71,0.74,4.13
BD-14 3065 A,6935.0,2.35,1.41,3.85
HD 154857,5605.0,1.76,1.718,3.82
HD 152079,5907.0,1.128,1.147,4.365
TOI-833,3920.0,0.6,0.61,4.67
Kepler-348,6177.0,1.359,1.189,4.244
Kepler-592,5913.0,1.04,1.04,4.42
Kepler-139,5630.0,1.045,1.078,4.34518
TOI-904,3770.2,0.527,0.557,4.61929
Kepler-1542,5564.0,0.99,0.94,4.41
Kepler-222,5433.0,0.869,0.933,4.551
Qatar-10,6124.0,1.254,1.156,4.303
Kepler-1213,6050.0,1.21,1.14,4.33
Kepler-29,5378.0,0.732,0.761,4.6
Kepler-554,5447.0,0.92,0.93,4.49
Kepler-506,6236.0,1.19,1.19,4.36
Kepler-1823,6000.0,1.126,1.068,4.363
Kepler-237,4861.0,0.725,0.696,4.583
Kepler-208,6092.0,1.314,1.082,4.265
HAT-P-5,5960.0,1.12,1.04,4.37
Kepler-254,5957.0,0.91,0.849,4.524
Kepler-1287,5715.0,0.94,0.96,4.48
WASP-183,5313.0,0.871,0.784,4.452
Kepler-337,5684.0,1.761,1.081,4.004
Kepler-1506,5676.0,0.93,0.95,4.49
Kepler-1830,6160.0,2.046,1.443,3.976
7 CMa,4826.0,4.87,1.34,3.19
Kepler-1390,5753.0,0.98,0.98,4.45
Kepler-913,4687.0,0.61,0.63,4.67
Kepler-350,6492.3,1.25,1.0,4.24
K2-19,5322.0,0.82,0.88,4.51
TOI-3160 A,6190.0,1.346,1.088,4.217
HD 176986,4931.0,0.782,0.789,4.44
HAT-P-45,6330.0,1.319,1.259,4.3
TOI-622,6400.0,1.415,1.313,4.2
KELT-19 A,7500.0,1.83,1.62,4.127
HATS-59,5670.0,1.036,1.038,4.422
Kepler-1333,5628.0,0.92,0.94,4.49
Kepler-1605,5280.0,0.82,0.86,4.55
Kepler-1913,6214.0,1.076,1.169,4.442
Kepler-1465,4726.0,0.71,0.75,4.62
Kepler-16,4450.0,0.6489,0.6897,4.6527
K2-21,4222.06,0.646783,0.676023,4.828
Kepler-1918,5889.0,0.924,0.967,4.492
Kepler-577,4984.0,0.73,0.78,4.61
Kepler-1120,4904.0,0.74,0.78,4.6
Kepler-953,5416.0,0.99,0.95,4.42
Kepler-149,5381.0,0.953,1.013,4.465
HD 124330,5873.0,1.30446,1.15,4.24
KELT-23 A,5899.0,0.996,0.944,4.417
Kepler-871,5993.0,1.14,1.11,4.37
WASP-89,5130.0,0.88,0.92,4.515
Kepler-385,6326.0,1.126,0.992,4.412
Kepler-942,4861.0,0.75,0.81,4.59
WASP-55,6096.0,1.09,1.071,4.393
Kepler-1966,5009.0,0.84,0.797,4.491
Kepler-212,5852.0,1.455,1.166,4.182
K2-285,4975.0,0.787,0.83,4.4
K2-91,3622.0,0.284,0.292,5.0
K2-329,5282.0,0.822,0.901,4.566
Kepler-819,5279.0,0.81,0.86,4.55
TOI-2345,4687.0,0.729,0.727,4.57
DMPP-1,6196.0,1.26,1.21,4.41
HD 11505,5757.15,1.19568,1.03,4.29568
WASP-45,5150.0,0.855,0.85,4.503
75 Cet,4809.0,10.38,1.92,2.69
Kepler-195,5329.0,0.775,0.867,4.603
K2-83,3910.0,0.424,0.484,4.863
Kepler-994,3934.0,0.54,0.56,4.72
KELT-21,7598.0,1.638,1.458,4.173
GJ 9404,3811.0,0.626041,0.62,4.62936
Kepler-376,5900.0,1.175,0.968,4.303
Kepler-1517,7010.0,1.95,1.58,4.06
Kepler-1876,6104.0,1.477,1.187,4.07136
EPIC 246851721,6202.0,1.586,1.317,4.157
K2-226,5288.0,0.889,0.856,4.473
TOI-4860,3260.0,0.358,0.34,4.86
Kepler-199,5644.0,0.967,0.96,4.438
WASP-42,5315.0,0.892,0.951,4.515
HD 6061,5934.0,1.0072,1.0269,4.441
Kepler-248,5190.0,0.831,0.838,4.573
HD 13189,4175.0,38.41,2.24,1.62
HD 1461,5765.0,1.152288,1.02,4.38
TOI-5232,6500.0,1.785,1.389,4.077
HD 133131 A,5799.0,0.955014,0.95,4.39
TOI-333,6241.0,1.1,1.2,4.41
HD 285507,4503.0,0.69,0.82,4.67
Kepler-1319,3655.0,0.54,0.56,4.73
Kepler-1047,5754.0,1.13,1.08,4.37
Kepler-968,4413.0,0.667,0.681,4.63
HD 16905,4866.12,0.77494,0.85,4.55716
Kepler-1711,5706.0,1.034,0.94,4.382
Kepler-734,5326.0,0.78,0.85,4.59
Kepler-521,6406.0,1.46,1.34,4.24
